,logFC,AveExpr,t,P.Value,adj.P.Val,B
TAFA5,-2.95258026075008,2.65408041093291,-5.1078256192136,2.1524398696524e-05,7.3828111496998e-05,2.44001776019237
NADK2,-1.43632753396108,11.9030890170825,-5.10747114917153,2.15451090892615e-05,7.38736084089173e-05,2.43907033827891
TMF1,-1.0782298190235,7.4714711731227,-5.10746705580052,2.15453483666476e-05,7.38736084089173e-05,2.43905939758593
PHF1,-1.11649659371592,7.84471082147448,-5.10701376811698,2.15718617175728e-05,7.39504322089641e-05,2.43784785850609
TRIM47,-1.58301994009223,7.1177193473334,-5.10695250986085,2.15754472957128e-05,7.39504322089641e-05,2.43768412864362
SPATA2,-1.3698580965394,6.13281786049369,-5.1066470104561,2.15933377573485e-05,7.39985594269208e-05,2.4368675961663
ANK2,-2.05843199157804,4.0827205215623,-5.10639866522865,2.16078921500701e-05,7.40352390991085e-05,2.43620382458951
YIPF5,-0.925499006149969,8.39883203249995,-5.10631391278453,2.16128613585739e-05,7.40390697823564e-05,2.43597730023237
PNPLA3,-1.5229623808498,8.2357503763006,-5.10611867703438,2.16243127878858e-05,7.4065101255497e-05,2.43545547883022
DZIP3,-0.904551287940796,6.4489384415836,-5.10602982394567,2.16295264232852e-05,7.40697622885034e-05,2.43521799451274
LCN12,-1.30724344444641,4.64876635779651,-5.10576677308136,2.16449688553608e-05,7.41094436766361e-05,2.43451491900179
IARS1,-1.04559996155672,8.67372826756886,-5.1044035276766,2.17251755686867e-05,7.43708155819091e-05,2.43087127872535
CRADD,-1.33616262423535,8.12461491845485,-5.10423447393003,2.17351426083898e-05,7.43916889169119e-05,2.43041943786418
SLC43A1,-1.27872533364524,10.9590985282336,-5.1032437209919,2.17936474553551e-05,7.45745197207425e-05,2.4277713920398
POLDIP2,-1.06092242865011,11.5781298558773,-5.10319854895997,2.17963186637634e-05,7.45745197207425e-05,2.42765065813795
NFIA,-1.52597894502492,10.8062482571538,-5.10270366310671,2.18256048059307e-05,7.46614328103235e-05,2.42632794892976
ZNF264,-1.11999040306771,7.32796546548326,-5.10258702328008,2.18325130093339e-05,7.4671777727174e-05,2.42601619933781
TNFAIP8L2,-1.66085766615445,4.9643761151387,-5.10227263976379,2.185114385562e-05,7.47222057318203e-05,2.42517592988372
PRMT2,-0.975807688113494,8.09415796181631,-5.10209829067027,2.18614829175102e-05,7.47442662438437e-05,2.42470993810648
BNIP3L,-0.958419594164679,8.93953744183215,-5.10143000455785,2.19011583412895e-05,7.48666019045679e-05,2.42292377726939
CBX3,-0.802201979827078,9.43196515709628,-5.10135242503923,2.19057688266769e-05,7.48690499009536e-05,2.42271642689586
ZBTB37,-1.52579705037836,6.04718917427321,-5.10062969445143,2.19487668723504e-05,7.50026738572585e-05,2.42078475322464
QSOX2,-1.35520105908261,6.04932095011029,-5.10052694660762,2.19548866047939e-05,7.50102532392326e-05,2.42051013483902
PRG4,-1.31041229103199,12.7499613435565,-5.0992637936071,2.20302607760023e-05,7.52544000388495e-05,2.41713405951339
ANO8,-1.71555355899155,5.28168978879188,-5.09905328115323,2.20428475513049e-05,7.52840192172386e-05,2.41657141618095
THAP4,-1.29418972174593,8.62298495037849,-5.09858349425463,2.20709626344752e-05,7.53666530457877e-05,2.41531580285319
ALG1,-0.918358947823712,8.18330275250273,-5.09840723329745,2.20815204994702e-05,7.53893147935207e-05,2.4148447053637
KIR2DL3,-1.30853826845169,0.804038962978777,-5.09831684985174,2.20869363459109e-05,7.53944160600384e-05,2.41460313513271
GOT2,-1.2384049193883,12.30420637983,-5.09820902500121,2.20933990365609e-05,7.53947500825424e-05,2.41431494886852
TNIP1,-1.03426858807712,10.8767611710246,-5.09818436069959,2.20948776054639e-05,7.53947500825424e-05,2.41424902796322
SCARA3,-1.54709232044271,6.51391567200562,-5.09807159586413,2.21016388648613e-05,7.54044378308712e-05,2.41394763857598
CEP57,-1.3220051349651,9.13198443693997,-5.09753277463617,2.21339746525673e-05,7.55013595982267e-05,2.41250751883136
YAE1,-1.07153660280573,5.56978117124495,-5.09645367952607,2.21988760530268e-05,7.57093120666027e-05,2.40962340274942
QSOX1,-1.16342536999433,9.52913115155585,-5.09633069217276,2.22062851375053e-05,7.57211478837424e-05,2.40929469284086
OAT,-1.71494609497922,10.4639975770298,-5.09553489598037,2.22542859540078e-05,7.58713685876573e-05,2.40716776048449
KIAA2012,-1.58780876347449,4.2253397835246,-5.09474831817154,2.23018329337443e-05,7.60199890339067e-05,2.40506547055575
PCDHGB1,-1.49183280700564,1.45864952134634,-5.09451475200735,2.23159711150724e-05,7.60546968068192e-05,2.40444121809639
DPEP3,-2.12299389879932,1.64755027317589,-5.09270222747358,2.24259922861761e-05,7.6416111609666e-05,2.39959689574617
RELL2,-1.64909629199374,3.1292594332215,-5.0915978681116,2.24932938358963e-05,7.66318578761487e-05,2.39664529351539
TMOD2,-1.96032576536325,4.7396117469801,-5.09094764151443,2.25330144017984e-05,7.6753579354106e-05,2.39490744832895
C8B,-1.21199024420559,13.1218143561132,-5.09048608249745,2.25612524361238e-05,7.68361520078794e-05,2.39367385242793
DHX33,-1.01044248073649,7.22371824943848,-5.09026876809823,2.25745599400718e-05,7.68678559773079e-05,2.39309304285575
CALML4,-1.69022682008981,3.72444556354108,-5.09006997786078,2.25867399846159e-05,7.68842596794191e-05,2.39256174255959
FBXL3,-1.0640896433543,8.42349443572561,-5.09005960460419,2.25873757435297e-05,7.68842596794191e-05,2.39253401829741
GLI4,-1.78112629005826,4.78015488191143,-5.08996059020877,2.2593445066885e-05,7.6891304905446e-05,2.39226938581612
